Key,UseI,Sample,Name,year,S1,S2,S3
EK57-5,S017,EK57,Goggles,2015,A013,B008,C010
EK57-6,S017,EK57,Goggles,2015,A013,B008,C010
EK57-8,S017,EK57,Goggles,2015,A013,B008,C010
EK43-2,S096,EK43,Daniela,2014,A013,B008,C010
EK116-3,S031,EK116,Genevieve,2015,A016,B059,C013
EK116-4,S031,EK116,Genevieve,2015,A016,B059,C013
EK116-6,S031,EK116,Genevieve,2015,A016,B059,C013
EK10-6,S031,EK10,Bubbles,2014,A016,B059,C013
EK81-3,S028,EK81,Chad,2015,A016,B070,C013
EK94-3,S028,EK94,Rudolph,2015,A016,B070,C013
EK40-1,S028,EK40,Naomi,2014,A016,B070,C013
EK36-5,S131,EK36,Zaza,2014,A017,B098,C013
EK94-2,S113,EK94,Rudolph,2015,A017,B098,C013
EK113-1,S144,EK113,Gogo,2015,A076,B141,C013
EK124-2,S142,EK124,Brigit,2015,A018,B120,C013
EK64-5,S039,EK64,Tyrone,2015,A018,B121,C013
EK132-2,S040,EK132,Doodle,2015,A018,B066,C013
EK132-3,S040,EK132,Doodle,2015,A018,B066,C013
EK124-4,S040,EK124,Brigit,2015,A018,B066,C013
EK64-4,S039,EK64,Tyrone,2015,A018,B067,C013
EK64-6,S039,EK64,Tyrone,2015,A018,B067,C013
EK64-1,S039,EK64,Tyrone,2015,A018,B067,C013
EK64-7,S039,EK64,Tyrone,2015,A018,B091,C013
EK64-8,S039,EK64,Tyrone,2015,A018,B091,C013
EK144-10,S006,EK144,Penny,2015,A019,B048,C013
EK144-9,S006,EK144,Penny,2015,A019,B048,C013
EK16-1,S135,EK16,TeenMom,2014,A019,B048,C013
EK144-6,S006,EK144,Penny,2015,A019,B048,C013
EK144-8,S006,EK144,Penny,2015,A019,B048,C013
EK144-7,S038,EK144,Penny,2015,A019,B048,C013
EK16-6,S136,EK16,TeenMom,2014,A077,B135,C013
EK23-1,S146,EK23,Carla,2014,A020,B117,C014
EK23-2,S147,EK23,Carla,2014,A020,B116,C014
EK111-3,S141,EK111,Ditto,2015,A021,B085,C015
EK111-8,S141,EK111,Ditto,2015,A021,B085,C015
EK124-1,S139,EK124,Brigit,2015,A078,B129,C015
EK137-9,S125,EK137,Julia,2015,A079,B130,C015
EK36-10,S128,EK36,Zaza,2014,A022,B080,C016
EK36-2,S128,EK36,Zaza,2014,A022,B080,C016
